wavelength_nm,R_no_gap_percent,R_1mm_air_gap_only_percent,R_sio2_reference_1mm_air_gap_percent
754.88,11.740035010568912,11.740035010568901,29.619624201488055
754.9000000000001,11.740801904674928,11.740801904674923,34.49568509755144
754.9200000000001,11.7415687979517,11.741568797951704,37.06800868963568
754.94,11.7423356903909,11.742335690390904,37.3476776079663
754.96,11.743102581984125,11.743102581984125,35.339761196207704
754.98,11.74386947272303,11.743869472723018,31.025799314993446
755.0,11.744636362599218,11.744636362599223,24.49665756421886
755.02,11.745403251604362,11.745403251604365,16.277622754511576
755.04,11.746170139730093,11.746170139730099,7.803173080003305
755.06,11.746937026968025,11.74693702696804,1.5831712884995348
755.0799999999999,11.747703913309829,11.747703913309829,0.18829637558300721
755.1,11.748470798747153,11.748470798747162,4.283226791457397
755.12,11.749237683271616,11.749237683271616,12.008358894495757
755.14,11.750004566874896,11.7500045668749,20.60401220585537
755.1600000000001,11.750771449548642,11.750771449548637,28.074784305567608
755.1800000000001,11.751538331284493,11.75153833128449,33.50747654889826
755.2,11.752305212074113,11.75230521207411,36.651976502740446
755.22,11.753072091909173,11.75307209190917,37.50099260596731
755.24,11.753838970781318,11.75383897078132,36.06828418063282
755.26,11.75460584868222,11.75460584868221,32.335141918032015
755.28,11.75537272560354,11.755372725603532,26.34241292256114
755.3,11.75613960153695,11.75613960153695,18.46280368159011
755.3199999999999,11.75690647647412,11.75690647647412,9.85670873883404
755.34,11.757673350406732,11.757673350406723,2.7932964019771056
755.36,11.75844022332643,11.758440223326437,0.0003046114096998656
755.38,11.759207095224923,11.759207095224927,2.783487040114688
755.4000000000001,11.759973966093867,11.759973966093874,9.840887812217826
755.4200000000001,11.760740835924983,11.760740835924976,18.44579085985337
755.44,11.761507704709906,11.761507704709903,26.327993291301144
755.46,11.762274572440333,11.762274572440333,32.32592711475102
755.48,11.763041439107965,11.763041439107973,36.066423283042006
755.5,11.7638083047045,11.763808304704515,37.50888333935028
755.52,11.764575169221612,11.764575169221619,36.67272627639863
755.54,11.765342032651011,11.765342032651008,33.54492783830009
755.56,11.766108894984388,11.766108894984384,28.13251903769944
755.5799999999999,11.766875756213429,11.766875756213432,20.682084286310236
755.6,11.767642616329844,11.76764261632984,12.096690917566605
755.62,11.768409475325354,11.768409475325353,4.355140383379584
755.64,11.769176333191622,11.769176333191634,0.20702564418617572
755.6600000000001,11.769943189920411,11.769943189920404,1.5282559675491203
755.6800000000001,11.770710045503401,11.770710045503392,7.689635464742127
755.7,11.771476899932303,11.771476899932303,16.142003886959085
755.72,11.772243753198826,11.772243753198833,24.372390395843855
755.74,11.773010605294708,11.773010605294704,30.933909723220328
755.76,11.773777456211649,11.773777456211654,35.292144365405996
755.78,11.774544305941397,11.77454430594139,37.35282917027528
755.8,11.77531115447563,11.775311154475641,37.13490369251068
755.8199999999999,11.776078001806113,11.7760780018061,34.634912322636865
755.84,11.776844847924558,11.776844847924565,29.840506304128965
755.86,11.777611692822722,11.777611692822713,22.8988980684932
755.88,11.778378536492298,11.778378536492285,14.4819313338651
755.9000000000001,11.779145378925032,11.779145378925033,6.251013477590305
755.9200000000001,11.779912220112672,11.779912220112651,0.8483778170850581
755.94,11.78067906004694,11.780679060046948,0.6008394874098113
755.96,11.781445898719612,11.781445898719605,5.626340528858355
755.98,11.782212736122387,11.7822127361224,13.723969689840414
756.0,11.78297957224704,11.782979572247037,22.207144976762685
756.02,11.783746407085317,11.783746407085317,29.315555058916992
756.04,11.784513240628955,11.784513240628963,34.30924445126781
756.06,11.785280072869716,11.78528007286971,37.013296710164184
756.0799999999999,11.78604690379936,11.786046903799349,37.43603202877378
756.1,11.786813733409621,11.786813733409625,35.58494330220733
756.12,11.78758056169227,11.787580561692288,31.44051657023349
756.14,11.788347388639089,11.788347388639089,25.076276721319612
756.1600000000001,11.789114214241815,11.789114214241811,16.96531286643822
756.1800000000001,11.789881038492226,11.789881038492226,8.447083449898523
756.2,11.790647861382082,11.790647861382071,1.9461431515395164
756.22,11.791414682903149,11.791414682903152,0.08344546610588237
756.24,11.792181503047221,11.792181503047221,3.738652741566245
756.26,11.792948321806056,11.792948321806053,11.23957158900884
756.28,11.793715139171427,11.79371513917142,19.84035881056557
756.3,11.794481955135122,11.794481955135119,27.457639425018108
756.3199999999999,11.795248769688918,11.795248769688918,33.097522013192595
756.34,11.796015582824616,11.796015582824616,36.46968575085812
756.36,11.796782394533961,11.796782394533961,37.556557559735246
756.38,11.79754920480879,11.797549204808778,36.37487241935805
756.4000000000001,11.79831601364085,11.798316013640834,32.907551004694895
756.4200000000001,11.799082821021955,11.79908282102195,27.177958721621337
756.44,11.79984962694389,11.799849626943896,19.49619156399836
756.46,11.800616431398463,11.80061643139845,10.895018086609687
756.48,11.801383234377479,11.801383234377452,3.499740369960104
756.5,11.802150035872709,11.802150035872709,0.049228270947279794
756.52,11.802916835875962,11.802916835875967,2.1276240049368504
756.54,11.803683634379082,11.803683634379086,8.756425911077514
756.56,11.804450431373834,11.804450431373846,17.292756402821244
756.5799999999999,11.805217226852067,11.805217226852044,25.351631031729422
756.6,11.805984020805543,11.80598402080553,31.637168632069486
756.62,11.806750813226108,11.806750813226108,35.700368122384624
756.64,11.807517604105575,11.807517604105579,37.475970653663595
756.6600000000001,11.808284393435759,11.808284393435763,36.98437882736733
756.6800000000001,11.809051181208496,11.80905118120849,34.21754604227852
756.7,11.809817967415585,11.80981796741558,29.169240646027628
756.72,11.81058475204884,11.810584752048864,22.022813988969617
756.74,11.811351535100147,11.811351535100142,13.534983753782418
756.76,11.812118316561277,11.812118316561278,5.484118950880208
756.78,11.812885096424083,11.812885096424095,0.553327395404926
756.8,11.813651874680408,11.813651874680408,0.9020856994988998
756.8199999999999,11.814418651322075,11.814418651322072,6.363989485089112
756.84,11.815185426340923,11.815185426340914,14.602090138951734
756.86,11.8159521997288,11.815952199728805,22.996593712971166
756.88,11.816718971477531,11.81671897147754,29.909941262704752
756.9000000000001,11.817485741579011,11.817485741578992,34.68289766979943
756.9200000000001,11.818252510025006,11.818252510025003,37.172633379634526
756.94,11.819019276807431,11.819019276807428,37.39271989763736
756.96,11.819786041918103,11.819786041918098,35.34728119214122
756.98,11.820552805348896,11.820552805348902,31.01751953990587
757.0,11.821319567091667,11.82131956709168,24.49447956497411
757.02,11.822086327138258,11.822086327138257,16.29955771381939
757.04,11.822853085480544,11.822853085480544,7.850358652445746
757.06,11.823619842110363,11.823619842110372,1.6243618376984008
757.0799999999999,11.824386597019606,11.824386597019613,0.16955848443881869
757.1,11.825153350200146,11.825153350200154,4.173429545485935
757.12,11.825920101643824,11.825920101643828,11.827923094643985
757.14,11.826686851342522,11.826686851342519,20.403133469543747
757.1600000000001,11.827453599288125,11.827453599288129,27.901017986284554
757.1800000000001,11.828220345472486,11.82822034547249,33.39450794857233
757.2,11.828987089887509,11.828987089887498,36.62367203039758
757.22,11.829753832525041,11.829753832525034,37.57843213092239
757.24,11.830520573376994,11.830520573377001,36.274134761499546
757.26,11.831287312435254,11.831287312435245,32.69251206650391
757.28,11.832054049691685,11.832054049691678,26.863243010889697
757.3,11.832820785138171,11.832820785138178,19.11797027925953
757.3199999999999,11.833587518766638,11.833587518766638,10.529018953926483
757.34,11.834354250568955,11.834354250568966,3.258166002720434
757.36,11.835120980537022,11.835120980537027,0.024175235457991565
757.38,11.835887708662735,11.835887708662728,2.3138546998710043
757.4000000000001,11.836654434937985,11.836654434937996,9.056027914257065
757.4200000000001,11.83742115935469,11.83742115935469,17.598481011142923
757.44,11.838187881904755,11.838187881904751,25.601799916730446
757.46,11.838954602580078,11.83895460258007,31.81306696512976
757.48,11.839721321372554,11.839721321372561,35.80501320136539
757.5,11.840488038274106,11.840488038274126,37.51901787116101
757.52,11.84125475327665,11.841254753276662,36.97571371742988
757.54,11.842021466372108,11.842021466372112,34.16616796301679
757.56,11.842788177552373,11.842788177552384,29.085040124988907
757.5799999999999,11.843554886809398,11.843554886809395,21.92008738463892
757.6,11.844321594135073,11.844321594135073,13.435690259097907
757.62,11.845088299521334,11.845088299521347,5.4153681435108
757.64,11.845855002960107,11.845855002960098,0.5332300919987438
757.6600000000001,11.846621704443319,11.846621704443328,0.9236680256650918
757.6800000000001,11.8473884039629,11.847388403962904,6.401070366707865
757.7,11.848155101510779,11.848155101510788,14.632568295272897
757.72,11.848921797078907,11.848921797078907,23.013951851984288
757.74,11.849688490659203,11.849688490659203,29.918726441360242
757.76,11.850455182243604,11.8504551822436,34.691683434039646
757.78,11.851221871824054,11.851221871824059,37.19067163060795
757.8,11.851988559392506,11.851988559392499,37.4293932489459
757.8199999999999,11.852755244940893,11.8527552449409,35.41231857114747
757.84,11.853521928461195,11.853521928461175,31.12020915933294
757.86,11.854288609945307,11.854288609945291,24.639660815617077
757.88,11.855055289385222,11.855055289385211,16.47774950492735
757.9000000000001,11.855821966772863,11.85582196677287,8.023651836022385
757.9200000000001,11.85658864210022,11.856588642100204,1.7250168131631283
757.94,11.857355315359223,11.857355315359232,0.13662603793322922
757.96,11.858121986541859,11.858121986541855,4.0056626788519
757.98,11.858888655640063,11.858888655640074,11.584501718449149
758.0,11.859655322645823,11.859655322645816,20.154937148175
758.02,11.860421987551097,11.860421987551097,27.69658212655095
758.04,11.861188650347856,11.861188650347843,33.2585521469372
758.06,11.861955311028058,11.861955311028058,36.56812800143219
758.0799999999999,11.86272196958369,11.862721969583696,37.61181256486078
758.1,11.863488626006733,11.863488626006733,36.40611585191586
758.12,11.86425528028916,11.864255280289157,32.93345289897044
758.14,11.86502193242294,11.86502193242294,27.21656313331599
