mode,rank,success,cost,optimizer_robust_cost,rmse_normalized,nfev,optimality,message,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
D,9,True,1423.56516,731.6589971,1.257672083,12,0.2761843022,`ftol` termination condition is satisfied.,9,0.7524726161,0.0002583614949,0.757400794,999.669029,-0.330971033,30.67245994,0.672459943,5.130692804,-4.869307196,50,9.999999996,30,-10,999.6700657,28.04362038,7.473457996,49.28278426,30.08550001
D,10,True,1423.565189,731.6589965,1.257672095,14,0.2823001831,`ftol` termination condition is satisfied.,12,0.7526167766,0.0002769805812,0.7574055833,999.6690289,-0.3309710608,30.67274141,0.6727414108,5.13045901,-4.86954099,49.99999999,9.999999994,30,-10,999.6709695,28.67092159,6.799753654,48.89905946,30.0449377
D,11,True,1423.565431,731.6589974,1.257672202,14,0.2285718534,`ftol` termination condition is satisfied.,18,0.7535845543,0.0002776237954,0.7574062762,999.669029,-0.3309709711,30.67271291,0.6727129081,5.13041634,-4.86958366,49.99999996,9.999999957,30,-10,999.6677042,28.2238075,7.919010921,49.77614679,30.02127104
D,12,True,1423.566875,731.659003,1.25767284,11,1.525635593,`ftol` termination condition is satisfied.,28,0.7559736948,0.0002792849935,0.757409868,999.6690296,-0.3309704229,30.67249052,0.672490517,5.130186157,-4.869813843,49.99999998,9.999999983,30,-10,999.6721211,32.34261375,3.04453743,48.4157252,30.06461861
D,13,True,1423.566956,731.6589961,1.257672876,15,0.1891506182,`ftol` termination condition is satisfied.,2,0.7502316807,0.0004687396679,0.7574581467,999.6690292,-0.3309707938,30.67540866,0.6754086607,5.12784099,-4.87215901,49.99999999,9.999999988,30,-10,999.671015,23.65094622,10.17794075,49.58324941,30.01662461
D,14,True,1423.567248,731.6590023,1.257673005,12,1.432606448,`ftol` termination condition is satisfied.,20,0.753820221,0.0003307266894,0.757423778,999.6690296,-0.3309703898,30.67322528,0.6732252778,5.129496799,-4.870503201,50,10,30,-10,999.6732365,27.79669647,4.912975674,49.58497878,30.03397905
D,15,True,1423.567418,731.6589975,1.25767308,14,0.1084846193,`ftol` termination condition is satisfied.,21,0.7538582921,0.0004830822045,0.7574628056,999.6690294,-0.3309706496,30.6755559,0.6755559017,5.12759767,-4.87240233,49.99999996,9.999999961,30,-10,999.6717062,27.7426884,7.512852101,48.29290962,30.07682102
D,16,True,1423.567754,731.6590015,1.257673228,10,1.229550392,`ftol` termination condition is satisfied.,1,0.7500180493,0.0004035790354,0.7574434057,999.6690296,-0.330970352,30.67426887,0.6742688747,5.12852521,-4.87147479,50,9.999999999,30,-10,999.670914,27.87614587,6.766622008,49.60678604,30.02146166
D,17,True,1423.567793,731.6589943,1.257673245,13,0.1878903451,`ftol` termination condition is satisfied.,26,0.7558195534,0.0006390108344,0.7575032323,999.6690292,-0.3309708323,30.67789115,0.6778911531,5.125622295,-4.874377705,50,10,30,-10,999.6680257,24.33275101,11.604292,49.98204596,30.03759864
D,18,True,1423.568099,731.6589943,1.257673381,12,0.2280125915,`ftol` termination condition is satisfied.,10,0.7524871384,0.0006855538561,0.7575157244,999.6690292,-0.3309708141,30.67855814,0.6785581372,5.125005226,-4.874994774,50,9.999999996,30,-10,999.6704894,27.13898,8.529081273,48.89372536,30.04081009
