sample_id,process_id,nominal_stack_id,nominal_stack_name,split_label,cavity_true_um,L_fft_um,delta_L_nm,H_peak,peak_count,film_HSQ_nominal_nm,film_PSS_nominal_nm,film_SOC_nominal_nm,film_TiO2_nominal_nm,film_HSQ_delta_nm,film_PSS_delta_nm,film_SOC_delta_nm,film_TiO2_delta_nm,film_HSQ_true_nm,film_PSS_true_nm,film_SOC_true_nm,film_TiO2_true_nm
75,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.15,1001.0124493775933,-862.4493775932933,791.1737060546875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
76,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.152,1001.0124493775933,-860.4493775932269,790.7864379882812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
77,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.154,1001.0124493775933,-858.4493775932742,789.624755859375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
78,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.156,1001.0311984401402,-875.1984401402524,787.9300537109375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
79,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.158,1001.0311984401402,-873.198440140186,786.4918823242188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
80,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.16,1001.0311984401402,-871.1984401402333,784.5332641601562,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
81,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.162,1001.0311984401402,-869.1984401401669,782.2026977539062,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
82,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.164,1001.0311984401402,-867.1984401402142,779.6527099609375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
83,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.166,1001.0311984401402,-865.1984401401478,777.0191040039062,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
84,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.168,1001.0311984401402,-863.1984401401951,774.4054565429688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
